4.022; 2; 402.88; 1.0; 39.0; 24.96; 0.0; 20220713; 230621; 
4.022; 4; 451.84; 1.0; 39.0; 24.78; 0.0; 20220713; 230621; 
4.026; 0; 400.0; 1.0; 42.0; 23.28; 0.0; 20220713; 230621; 
4.034; 0; 394.88; 1.0; 43.0; 23.06; 0.0; 20220713; 230621; 
4.035; 0; 401.92; 1.0; 40.0; 23.08; 0.0; 20220713; 230621; 
4.036; 0; 403.84; 1.0; 38.0; 24.78; 0.0; 20220713; 230621; 
4.037; 2; 413.76; 1.0; 41.0; 23.58; 0.0; 20220713; 230621; 
4.037; 3; 416.96; 1.0; 40.0; 23.86; 0.0; 20220713; 230621; 
4.037; 4; 408.96; 0.0; 42.0; 23.24; 0.0; 20220713; 230621; 
4.037; 5; 448.0; 0.0; 42.0; 23.36; 0.0; 20220713; 230621; 
4.052; 1; 403.84; 0.0; 42.0; 23.52; 46.08; 20220713; 230621; 
4.053; 0; 438.72; 1.0; 39.0; 23.14; 1218.56; 20220713; 230621; 
5.008; 1; 400.0; 1.0; 40.0; 24.16; 7.68; 20220713; 230621; 
5.008; 2; 402.88; 1.0; 41.0; 23.74; 0.0; 20220713; 230621; 
5.008; 3; 412.8; 1.0; 39.0; 23.76; 2.56; 20220713; 230621; 
5.008; 4; 432.96; 1.0; 42.0; 23.16; 25.6; 20220713; 230621; 
5.008; 5; 404.8; 1.0; 42.0; 23.54; 0.0; 20220713; 230621; 
5.008; 6; 410.88; 1.0; 41.0; 23.74; 0.0; 20220713; 230621; 
5.009; 0; 421.76; 1.0; 42.0; 23.4; 3210.24; 20220713; 230621; 
5.010; 0; 414.72; 0.0; 37.0; 25.96; 5.12; 20220713; 230621; 
5.011; 0; 393.92; 1.0; 41.0; 22.38; 143.36; 20220713; 230621; 
5.022; 0; 408.0; 1.0; 38.0; 22.82; 202.24; 20220713; 230621; 
5.023; 1; 419.84; 0.0; 44.0; 22.24; 0.0; 20220713; 230621; 
5.023; 2; 424.0; 0.0; 46.0; 22.06; 0.0; 20220713; 230621; 
5.024; 1; 424.0; 1.0; 41.0; 23.82; 340.48; 20220713; 230621; 
5.024; 2; 414.72; 0.0; 40.0; 23.74; 1643.52; 20220713; 230621; 
5.025; 0; 412.8; 1.0; 41.0; 24.26; 153.6; 20220713; 230621; 
5.030; 0; 419.84; 0.0; 39.0; 23.66; 435.2; 20220713; 230621; 
5.031; 0; 410.88; 1.0; 39.0; 24.34; 1658.88; 20220713; 230621; 
5.032; 0; 395.84; 1.0; 41.0; 23.84; 2309.12; 20220713; 230621; 
6.007; 1; 400.0; 1.0; 46.0; 22.06; 168.96; 20220713; 230621; 
6.007; 2; 398.72; 1.0; 46.0; 22.16; 0.0; 20220713; 230621; 
6.008; 0; 400.0; 1.0; 44.0; 21.98; 122.88; 20220713; 230621; 
6.009; 0; 398.72; 1.0; 44.0; 22.56; 74.24; 20220713; 230621; 
6.010; 0; 403.84; 0.0; 38.0; 24.24; 737.28; 20220713; 230621; 
6.011; 0; 426.88; 1.0; 43.0; 23.34; 2286.08; 20220713; 230621; 
6.012; 0; 409.92; 0.0; 42.0; 23.62; 1438.72; 20220713; 230621; 
6.015; 0; 398.72; 0.0; 46.0; 21.92; 76.8; 20220713; 230621; 
6.019; 0; 400.96; 1.0; 45.0; 22.28; 317.44; 20220713; 230621; 
6.024; 0; 403.84; 0.0; 46.0; 21.64; 240.64; 20220713; 230621; 
6.025; 0; 400.96; 0.0; 44.0; 21.54; 189.44; 20220713; 230621; 
6.027; 0; 406.72; 0.0; 37.0; 25.16; 10.24; 20220713; 230621; 
6.030; 0; 402.88; 1.0; 39.0; 25.26; 71.68; 20220713; 230621; 
6.031; 1; 396.8; 1.0; 40.0; 23.46; 256.0; 20220713; 230621; 
6.031; 2; 392.96; 0.0; 41.0; 23.36; 2.56; 20220713; 230621; 
6.032; 0; 408.0; 1.0; 42.0; 23.66; 5.12; 20220713; 230621; 
6.037; 0; 452.8; 1.0; 41.0; 23.72; 0.0; 20220713; 230621; 
6.038; 0; 413.76; 0.0; 41.0; 21.9; 5.12; 20220713; 230621; 
6.038A; 0; 398.72; 0.0; 42.0; 22.94; 0.0; 20220713; 230621; 
